date,amount,category,description
24-07-2024,75.5,Expense,Snacks
25-07-2024,300.0,Income,Freelance
26-07-2024,150.0,Income,Bonus
27-07-2024,25.0,Expense,Coffee
28-07-2024,60.0,Expense,Lunch
29-07-2024,1000.0,Income,Salary
30-07-2024,80.0,Expense,Grocery
31-07-2024,20.0,Expense,Parking
01-08-2024,200.0,Income,Gift
02-08-2024,130.0,Expense,Clothes
03-08-2024,950.0,Income,Salary
04-08-2024,55.0,Expense,Fast food
05-08-2024,210.0,Income,Freelance
06-08-2024,90.0,Expense,Taxi
07-08-2024,110.0,Income,Bonus
08-08-2024,30.0,Expense,Snacks
09-08-2024,40.0,Expense,Cinema
10-08-2024,180.0,Income,Gift
11-08-2024,500.0,Income,Salary
12-08-2024,22.0,Expense,Juice
13-08-2024,75.0,Expense,Lunch
14-08-2024,300.0,Income,Freelance
15-08-2024,45.0,Expense,Books
16-08-2024,600.0,Income,Salary
17-08-2024,27.0,Expense,Coffee
18-08-2024,90.0,Expense,Transport
19-08-2024,100.0,Income,Bonus
20-08-2024,120.0,Expense,Utilities
21-08-2024,15.0,Expense,Snack
22-08-2024,950.0,Income,Salary
23-08-2024,35.0,Expense,Internet
